Name,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6
GeneA,3.710701,3.4230223,24.012434,0.19696924,0,0.07023161
GeneB,6.1578465,3.5217094,11.040904,1.8643806,0.8568957,1.173653
GeneC,10.123089,6.6932616,8.929486,4.2649593,3.8098953,4.5035586
GeneD,1.7339505,1.1305891,3.086674,0.6806096,0.12834086,0.1238677
GeneE,3.1063492,2.6987882,3.7439976,0.79610157,0.7726762,1.6273804
GeneF,2.649048,2.6710408,11.174323,0.5706429,0.6441668,0.40721136
GeneG,6.6711373,5.2130227,5.4358892,2.2631948,2.980256,3.4204335
GeneH,4.7973323,3.0918143,4.3456254,2.1334577,2.3345199,1.8143609
GeneI,17.660772,13.809408,18.414341,2.304101,1.3561087,6.3199396
GeneJ,8.812871,6.9261117,8.301666,4.3796635,3.4982288,3.770668
